Date,Japan,France,United States
1970-01-31,30.8,14.3,15.9
1970-02-28,30.8,14.4,16.0
1970-03-31,31.2,14.4,16.1
1970-04-30,31.5,14.5,16.2
1970-05-31,31.4,14.5,16.3
1970-06-30,31.4,14.6,16.4
1970-07-31,31.4,14.6,16.5
1970-08-31,31.3,14.7,16.5
1970-09-30,31.8,14.7,16.5
1970-10-31,32.3,14.8,16.6
1970-11-30,32.3,14.9,16.7
1970-12-31,32.5,14.9,16.8
1971-01-31,32.8,15.0,16.8
1971-02-28,32.8,15.1,16.8
1971-03-31,32.9,15.1,16.9
1971-04-30,33.3,15.2,16.9
1971-05-31,33.4,15.3,17.0
1971-06-30,33.5,15.4,17.1
1971-07-31,33.5,15.4,17.2
1971-08-31,33.5,15.5,17.2
1971-09-30,34.3,15.6,17.2
1971-10-31,34.4,15.7,17.3
1971-11-30,34.1,15.7,17.3
1971-12-31,34.1,15.8,17.3
1972-01-31,34.1,15.8,17.3
1972-02-29,34.3,15.9,17.4
1972-03-31,34.6,16.0,17.5
1972-04-30,35.0,16.1,17.5
1972-05-31,35.1,16.1,17.6
1972-06-30,35.1,16.2,17.6
1972-07-31,35.1,16.4,17.7
1972-08-31,35.4,16.4,17.7
1972-09-30,35.6,16.6,17.8
1972-10-31,35.8,16.7,17.8
1972-11-30,35.7,16.8,17.9
1972-12-31,36.0,16.9,17.9
1973-01-31,36.3,16.9,18.0
1973-02-28,36.7,16.9,18.1
1973-03-31,37.6,17.0,18.3
1973-04-30,38.3,17.1,18.4
1973-05-31,38.9,17.3,18.5
1973-06-30,39.0,17.4,18.6
1973-07-31,39.3,17.6,18.7
1973-08-31,39.6,17.7,19.0
1973-09-30,40.7,17.9,19.1
1973-10-31,40.9,18.0,19.2
1973-11-30,41.2,18.2,19.4
1973-12-31,42.6,18.3,19.5
1974-01-31,44.4,18.6,19.7
1974-02-28,45.8,18.9,19.9
1974-03-31,46.1,19.1,20.2
1974-04-30,47.2,19.4,20.3
1974-05-31,47.4,19.6,20.5
1974-06-30,47.7,19.9,20.7
1974-07-31,48.7,20.1,20.8
1974-08-31,49.2,20.3,21.1
1974-09-30,49.9,20.5,21.3
1974-10-31,51.0,20.7,21.6
1974-11-30,51.4,20.9,21.7
1974-12-31,51.5,21.1,21.9
1975-01-31,52.1,21.3,22.0
1975-02-28,52.2,21.5,22.2
1975-03-31,52.6,21.7,22.2
1975-04-30,53.6,21.9,22.3
1975-05-31,53.9,22.0,22.4
1975-06-30,53.9,22.2,22.6
1975-07-31,54.1,22.3,22.9
1975-08-31,53.9,22.5,22.9
1975-09-30,55.1,22.7,23.0
1975-10-31,55.9,22.9,23.2
1975-11-30,55.7,23.0,23.3
1975-12-31,55.7,23.1,23.4
1976-01-31,56.7,23.4,23.5
1976-02-29,57.1,23.5,23.5
1976-03-31,57.3,23.7,23.6
1976-04-30,58.6,24.0,23.7
1976-05-31,58.8,24.1,23.8
1976-06-30,58.9,24.2,24.0
